FASTQ_FILE	MD5	RUN_ID	STUDY_ID	STUDY_NAME	CENTER_NAME	SUBMISSION_ID	SUBMISSION_DATE	SAMPLE_ID	SAMPLE_NAME	POPULATION	EXPERIMENT_ID	INSTRUMENT_PLATFORM	INSTRUMENT_MODEL	LIBRARY_NAME	RUN_NAME	RUN_BLOCK_NAME	INSERT_SIZE	LIBRARY_LAYOUT	PAIRED_FASTQ	WITHDRAWN	WITHDRAWN_DATE	COMMENT	READ_COUNT	BASE_COUNT	ANALYSIS_GROUP
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020281/ERR020281_1.fastq.gz	0f38c994deff1dbb2b37e767c51bb380	ERR020281	SRP001523	1000 Genomes CLM population sequencing	BGI	ERA014686	2010-09-26 00:00:00	SRS074265	HG01350	CLM	ERX008400	ILLUMINA	Illumina HiSeq 2000	HUMgfdRFVDIAAPEI-5	BGI-A80170ABXX_L5_HUMgfdRFVDIAAPEI-5		466	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020281/ERR020281_2.fastq.gz	0			107856988	19629971816	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020281/ERR020281_2.fastq.gz	77f4422d2c996456497ca06780a2fd52	ERR020281	SRP001523	1000 Genomes CLM population sequencing	BGI	ERA014686	2010-09-26 00:00:00	SRS074265	HG01350	CLM	ERX008400	ILLUMINA	Illumina HiSeq 2000	HUMgfdRFVDIAAPEI-5	BGI-A80170ABXX_L5_HUMgfdRFVDIAAPEI-5		466	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020281/ERR020281_1.fastq.gz	0			107856988	19629971816	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020282/ERR020282_1.fastq.gz	735390e54fe1f66e0379a6a14cbea8c7	ERR020282	SRP001523	1000 Genomes CLM population sequencing	BGI	ERA014686	2010-09-26 00:00:00	SRS074266	HG01351	CLM	ERX008401	ILLUMINA	Illumina HiSeq 2000	HUMgfdRFWDIAAPEI-7	BGI-A80170ABXX_L6_HUMgfdRFWDIAAPEI-7		467	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020282/ERR020282_2.fastq.gz	0			105522298	19205058236	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020282/ERR020282_2.fastq.gz	68d9061e9a04ce60f44897400f6ec1d3	ERR020282	SRP001523	1000 Genomes CLM population sequencing	BGI	ERA014686	2010-09-26 00:00:00	SRS074266	HG01351	CLM	ERX008401	ILLUMINA	Illumina HiSeq 2000	HUMgfdRFWDIAAPEI-7	BGI-A80170ABXX_L6_HUMgfdRFWDIAAPEI-7		467	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020282/ERR020282_1.fastq.gz	0			105522298	19205058236	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020285/ERR020285_1.fastq.gz	858480bccbf03e2b78097c7158104e4b	ERR020285	SRP001523	1000 Genomes CLM population sequencing	BGI	ERA014686	2010-09-26 00:00:00	SRS074274	HG01365	CLM	ERX008404	ILLUMINA	Illumina HiSeq 2000	HUMwfmRFZDIAAPEI-8	BGI-A800TDABXX_L8_HUMwfmRFZDIAAPEI-8		475	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020285/ERR020285_2.fastq.gz	0			106013687	19294491034	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020285/ERR020285_2.fastq.gz	e20317ae8d2aba7cd4a7853cff577ec8	ERR020285	SRP001523	1000 Genomes CLM population sequencing	BGI	ERA014686	2010-09-26 00:00:00	SRS074274	HG01365	CLM	ERX008404	ILLUMINA	Illumina HiSeq 2000	HUMwfmRFZDIAAPEI-8	BGI-A800TDABXX_L8_HUMwfmRFZDIAAPEI-8		475	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020285/ERR020285_1.fastq.gz	0			106013687	19294491034	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022446/ERR022446_1.fastq.gz	311835b257e2a780b4281d630bce4371	ERR022446	SRP001523	1000 Genomes CLM population sequencing	SC	ERA015166	2010-11-12 00:00:00	SRS010787	HG01133	CLM	ERX008901	ILLUMINA	Illumina HiSeq 2000	g1k-sc-HG01133-6929	5297_1		450	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022446/ERR022446_2.fastq.gz	0			109746573	21949314600	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022446/ERR022446_2.fastq.gz	a29f81e2fda6aca825167347ca2a36a0	ERR022446	SRP001523	1000 Genomes CLM population sequencing	SC	ERA015166	2010-11-12 00:00:00	SRS010787	HG01133	CLM	ERX008901	ILLUMINA	Illumina HiSeq 2000	g1k-sc-HG01133-6929	5297_1		450	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022446/ERR022446_1.fastq.gz	0			109746573	21949314600	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022447/ERR022447_1.fastq.gz	edabcdde30f7a6029c6eac2a3aa04e04	ERR022447	SRP001523	1000 Genomes CLM population sequencing	SC	ERA015166	2010-11-12 00:00:00	SRS010787	HG01133	CLM	ERX008901	ILLUMINA	Illumina HiSeq 2000	g1k-sc-HG01133-6929	5297_2		450	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022447/ERR022447_2.fastq.gz	0			118354817	23670963400	low coverage
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022447/ERR022447_2.fastq.gz	7c80caa93a70f1ecb792c63addca524b	ERR022447	SRP001523	1000 Genomes CLM population sequencing	SC	ERA015166	2010-11-12 00:00:00	SRS010787	HG01133	CLM	ERX008901	ILLUMINA	Illumina HiSeq 2000	g1k-sc-HG01133-6929	5297_2		450	PAIRED	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022447/ERR022447_1.fastq.gz	0			118354817	23670963400	low coverage
